participant,trial,expectation,feedback,reference,profile,reset,mean_population,item_number,factor_number
1,1,4,8,6,1,1,6.987146529562982,38,4
1,2,6,6,6,1,1,6.83080808080808,15,4
1,3,7,6,2,1,1,5.077720207253886,72,2
1,4,5,7,5,1,1,6.329177057356609,36,4
1,5,6,8,7,1,0,6.776623376623377,32,4
1,6,7,3,3,1,1,4.245,66,1
1,7,5,8,5,1,0,7.159898477157361,40,4
1,8,7,6,6,1,1,5.976744186046512,7,3
1,9,6,8,7,1,0,6.892768079800499,1,4
1,10,7,7,5,1,0,6.083756345177665,79,4
1,11,7,8,4,1,1,6.183937823834197,77,4
1,12,7,6,5,1,1,6.043701799485861,48,4
1,13,6,5,5,1,1,5.6640625,47,3
1,14,6,6,7,1,0,7.017721518987342,14,4
1,15,6,2,7,1,0,6.0997506234413965,51,4
1,16,6,8,8,1,1,7.037878787878788,54,5
1,17,8,8,8,1,1,6.554430379746836,50,4
1,18,7,8,4,1,0,5.55440414507772,12,3
1,19,6,6,5,1,1,5.959493670886076,4,3
1,20,5,6,8,1,1,6.01025641025641,43,3.5
1,21,8,3,NA,1,0,6.401496259351621,41,4
1,22,6,8,5,1,1,6.017456359102244,31,3
1,23,8,8,7,1,1,5.750636132315521,55,3
1,24,7,5,7,1,1,6.596899224806202,73,4
1,25,5,7,4,1,1,5.129675810473816,26,3
1,26,3,8,8,1,1,5.529262086513995,10,3
1,27,7,7,6,1,0,6.839793281653747,27,4
1,28,6,6,2,1,1,6.5575,16,4
1,29,7,8,7,1,1,6.9104859335038364,8,4
1,30,2,5,6,1,1,5.238341968911917,2,2
1,31,7,4,5,1,0,5.493573264781491,3,3
1,32,5,2,5,1,0,5.285347043701799,23,3
1,33,6,7,5,1,1,6.111392405063291,49,4
1,34,5,2,2,1,1,4.860759493670886,45,2
1,35,4,3,5,1,1,5.720698254364089,46,3
1,36,7,8,8,1,1,6.370646766169155,56,4
1,37,7,8,7,1,0,6.1914357682619645,19,4
1,38,7,8,6,1,1,5.235443037974684,30,3
1,39,7,6,2,1,1,5.539240506329114,20,3
1,40,7,8,8,1,1,6.5240506329113925,44,4
1,41,6,7,6,1,1,7.17005076142132,35,4
1,42,7,7,7,1,1,6.369509043927649,22,4
1,43,5,8,5,1,1,5.948586118251928,13,3
1,44,7,8,3,1,1,5.639896373056994,42,3
1,45,6,5,6,1,1,5.351706036745407,63,3
1,46,7,8,8,1,1,7.175257731958763,53,5
1,47,7,6,6,1,1,5.414322250639386,18,3
1,48,7,6,5,1,1,5.280612244897959,70,2.5
1,49,6,3,7,1,1,6.451776649746193,5,4
1,50,7,4,7,1,1,5.723076923076923,58,3
1,51,6,2,6,1,1,5.3915211970074814,6,3
1,52,6,2,7,1,1,5.63681592039801,76,3
1,53,7,8,4,1,1,5.297709923664122,65,3
1,54,5,8,3,1,1,5.394805194805195,67,3
1,55,3,6,7,1,1,5.147286821705427,57,2
1,56,7,7,2,1,0,4.992307692307692,68,2
1,57,7,2,6,1,1,6.0648379052369075,71,4
1,58,6,6,3,1,1,5.666666666666667,29,3
1,59,7,8,7,1,1,6.916243654822335,24,4
1,60,7,7,7,1,0,7.012626262626263,64,4
1,61,6,6,8,2,0,6.554430379746836,50,4
1,62,5,3,6,2,1,5.3915211970074814,6,3
1,63,5,8,5,2,1,5.493573264781491,3,3
1,64,4,8,8,2,1,6.5240506329113925,44,4
1,65,2,5,6,2,1,5.238341968911917,2,2
1,66,6,7,2,2,0,6.5575,16,4
